,Name,Opportunity Number,Eligibility,Agency Name,Description
144,Antarctic Research,20-568,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",National Science Foundation,"The Antarctic Sciences Section (ANT) of the Office of Polar Programs (OPP) supports cutting-edge researchto:


Expand fundamental knowledge of Antarctic systems, biota, and processes
Improve understanding of interactions among the Antarctic region and global systems
Utilize the unique characteristics of the Antarctic region as a science observing platform


The U.S. Antarctic Program (USAP) supports scientific research in Antarctica and the Southern Ocean with logistics provided by OPP’s Antarctic Infrastructure and Logistics Section (AIL). Antarctic fieldwork is supported only for research that must be performed, or is best performed, in Antarctica. ANT encourages research, using existing samples, data, and models, that does not require fieldwork. ANT also encourages research that crosses and combines, disciplinary perspectives and approaches."
145,Independent Scientist Award (Parent K02 Independent Basic Experimental Studies with Humans Required),PA-20-173,"For profit organizations other than small businessesState governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Special district governmentsSmall businessesCounty governmentsIndependent school districtsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal governments (Federally recognized)Public housing authorities/Indian housing authoritiesPrivate institutions of higher educationPublic and State controlled institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)City or township governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",National Institutes of Health,"The purpose of the NIH Independent Scientist Award (K02) is to foster the development of outstanding scientists and enable them to expand their potential to make significant contributions to their field of research. The K02 award provides three to five years of salary support and ""protected time"" for newly independent scientists who can demonstrate the need for a period of intensive research focus as a means of enhancing their research careers. Each independent scientist career award program must be tailored to meet the individual needs of the candidate. This Parent Funding Opportunity Announcement is for basic science experimental studies involving humans, referred to in NOT-OD-18-212 as prospective basic science studies involving human participants.  These studies fall within the NIH definition of a clinical trial and also meet the definition of basic research.  Types of studies that should be submitted under this FOA include studies that prospectively assign human participants to conditions (i.e., experimentally manipulate independent variables) and that assess biomedical or behavioral outcomes in humans for the purpose of understanding the fundamental aspects of phenomena without specific application towards processes or products in mind. Applicants not planning an independent clinical trial or basic experimental study with humans, or proposing to gain research experience in a clinical trial or basic experimental study with humans led by another investigator, must apply to the 'Independent Clinical Trial Not Allowed' companion FOA.  The proposed project must be related to the programmatic interests of one or more of the participating NIH Institutes and Centers (ICs)  based on their scientific missions."
146,Independent Scientist Award (Parent K02 - Independent Clinical Trial Not Allowed),PA-20-174,"Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSpecial district governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)State governmentsFor profit organizations other than small businessesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal governments (Federally recognized)Public and State controlled institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)City or township governmentsPublic housing authorities/Indian housing authoritiesPrivate institutions of higher educationCounty governmentsSmall businessesIndependent school districts",National Institutes of Health,"The purpose of the NIH Independent Scientist Award (K02) is to foster the development of outstanding scientists and enable them to expand their potential to make significant contributions to their field of research. The K02 award provides three to five years of salary support and ""protected time"" for newly independent scientists who can demonstrate the need for a period of intensive research focus as a means of enhancing their research careers. Each independent scientist career award program must be tailored to meet the individual needs of the candidate. This Funding Opportunity Announcement (FOA) is designed specifically for applicants proposing research that does not involve leading an independent clinical trial, a clinical trial feasibility study, or a separate ancillary clinical trial. Applicants to this FOA are permitted to propose research experience in a clinical trial led by another investigator. Applicants proposing a clinical trial or an ancillary clinical trial as lead investigator, should apply to the companion FOA"
147,Independent Scientist Award (Parent K02 - Independent Clinical Trial Required),PA-20-171,"Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationState governmentsPublic and State controlled institutions of higher educationFor profit organizations other than small businessesSmall businessesSpecial district governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)City or township governmentsPrivate institutions of higher educationCounty governmentsPublic housing authorities/Indian housing authoritiesNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationIndependent school districtsNative American tribal governments (Federally recognized)Native American tribal organizations (other than Federally recognized tribal governments)",National Institutes of Health,"The purpose of the NIH Independent Scientist Award (K02) is to foster the development of outstanding scientists and enable them to expand their potential to make significant contributions to their field of research. The K02 award provides three to five years of salary support and ""protected time"" for newly independent scientists who can demonstrate the need for a period of intensive research focus as a means of enhancing their research careers. Each independent scientist career award program must be tailored to meet the individual needs of the candidate. This Funding Opportunity Announcement (FOA) is designed specifically for applicants proposing to serve as the lead investigator of an independent clinical trial, a clinical trial feasibility study, or a separate ancillary clinical trial, as part of their research and career development. Applicants not planning an independent clinical trial, or proposing to gain research experience in a clinical trial led by another investigator, must apply to companion FOA"
148,Long-Term Effects of Disasters on Health Care Systems Serving Health Disparity Populations (R01- Clinical Trial Optional),PA-20-172,"Native American tribal governments (Federally recognized)Others (see text field entitled ""Additional Information on Eligibility"" for clarification)Independent school districtsPublic and State controlled institutions of higher educationPrivate institutions of higher educationFor profit organizations other than small businessesNative American tribal organizations (other than Federally recognized tribal governments)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationCounty governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationState governmentsSmall businessesSpecial district governmentsCity or township governmentsPublic housing authorities/Indian housing authorities",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to support investigative and collaborative research focused on understanding the long-term effects of natural and/or human-made disasters on health care systems serving health disparity populations in communities in the U.S., including the U.S. territories. NIH-designated health disparity populations include racial and ethnic minorities (Blacks/African Americans, Hispanics/Latinos, American Indians/Alaska Natives, Asians, Native Hawaiians and other Pacific Islanders), sexual and gender minorities, socioeconomically disadvantaged populations, and underserved rural populations."
149,Strengthening Institutional Capacity to Conduct Global Cancer Research in Low- and Middle-Income Countries (D43 Clinical Trial Not Allowed),RFA-CA-20-031,"Native American tribal governments (Federally recognized)Others (see text field entitled ""Additional Information on Eligibility"" for clarification)Private institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationPublic and State controlled institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)",National Institutes of Health,"The purpose of this funding opportunity announcement (FOA) is to establish an institutional program for mentored training in global cancer research. This program will support research training led by US-based cancer research-intensive institutions working in collaboration with institutions in low and middle-income countries (LMICs). These training programs will be built upon the US institutions pre-existing training infrastructure and research collaborations with LMICs and will leverage these resources to expand the global cancer research workforce both in the US and in LMICs. The overarching goal of this grant program is to build capacity to conduct innovative and collaborative global research projects that will contribute to the advancement of basic, clinical, translational, and population-based cancer research."
150,Research on Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) (R01 Clinical Trials Not Allowed),PAR-20-165,"Independent school districtsCounty governmentsNative American tribal governments (Federally recognized)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPublic and State controlled institutions of higher educationCity or township governmentsPrivate institutions of higher educationSmall businessesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationPublic housing authorities/Indian housing authoritiesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Special district governmentsFor profit organizations other than small businessesState governmentsNative American tribal organizations (other than Federally recognized tribal governments)",National Institutes of Health,"This Funding Opportunity Announcement (FOA) encourages investigator(s)-initiated applications that propose to examine the etiology, diagnosis, pathophysiology and manifestations of myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) in diverse groups and across the lifespan. Applications that address gaps in the understanding of the environmental and biological risk factors, the determinants of heterogeneity among individuals with ME/CFS, and the common mechanisms influencing the multiple affected body systems in ME/CFS are encouraged. The NIH is particularly interested in funding interdisciplinary research that will enhance our knowledge of disease processes and provide evidence-based solutions to improve the diagnosis, treatment, and quality of life of all persons with ME/CFS. This interdisciplinary research may include the building of scientific teams to study and develop biomarkers and/or characterize the pathophysiological response of organ systems in individuals with ME/CFS. Applicants are encouraged to propose novel and innovative research that will break new ground or extend previous discoveries toward new directions."
151,Research on Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) (R21 Clinical Trials Not Allowed),PAR-20-168,"County governmentsPublic housing authorities/Indian housing authoritiesSmall businessesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher educationFor profit organizations other than small businessesNative American tribal governments (Federally recognized)Native American tribal organizations (other than Federally recognized tribal governments)Public and State controlled institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)State governmentsCity or township governmentsIndependent school districtsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSpecial district governments",National Institutes of Health,"This Funding Opportunity Announcement (FOA) encourages investigator(s)-initiated applications that propose to examine the etiology, diagnosis, pathophysiology and manifestations of myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) in diverse groups and across the lifespan. Applications that address gaps in the understanding of the environmental and biological risk factors, the determinants of heterogeneity among individuals with ME/CFS, and the common mechanisms influencing the multiple affected body systems in ME/CFS are encouraged. The NIH is particularly interested in funding interdisciplinary research that will enhance our knowledge of disease processes and provide evidence-based solutions to improve the diagnosis, treatment, and quality of life of all persons with ME/CFS. This interdisciplinary research may include the building of scientific teams to study and develop biomarkers and/or characterize the pathophysiological response of organ systems in individuals with ME/CFS. The R21 Grant mechanism is intended to support innovative, high impact research projects.  Such projects would either 1) generate pilot data to assess the feasibility of a novel avenue of investigation; 2) involve high risk experiments that could lead to a breakthrough in ME/CFS; 3) demonstrate the feasibility of new technologies that could have a major impact on ME/CFS research.  Proposals submitted under this mechanism should be limited to those with the potential for truly ground-breaking impact."
152,Mechanisms and Consequences of Sleep Disparities in the U.S. (R01 - Clinical Trial Not Allowed),PAR-20-164,"Others (see text field entitled ""Additional Information on Eligibility"" for clarification)State governmentsPrivate institutions of higher educationPublic and State controlled institutions of higher educationSmall businessesCounty governmentsIndependent school districtsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal governments (Federally recognized)For profit organizations other than small businessesCity or township governmentsPublic housing authorities/Indian housing authoritiesNative American tribal organizations (other than Federally recognized tribal governments)Special district governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education",National Institutes of Health,The purpose of this Funding Opportunity Announcement (FOA) is to promote research to understand the underlying mechanisms of sleep deficiencies among health disparity populations and how sleep deficiencies may lead to disparities in health outcomes.
153,Competing Revisions to Existing NIH Grants and Cooperative Agreements (Clinical Trial Optional),PA-20-163,"City or township governmentsSmall businessesState governmentsPrivate institutions of higher educationFor profit organizations other than small businessesPublic and State controlled institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Public housing authorities/Indian housing authoritiesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)County governmentsSpecial district governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal governments (Federally recognized)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationIndependent school districts",National Institutes of Health,"The National Institutes of Health (NIH) hereby notifies NIH award recipients that funds may be available for revision applications to support the expansion of existing projects and/or programs within the awarding IC identified in the competitive revision NOSI. Applications for Revisions will be evaluated for scientific and technical merit by (an) appropriate Scientific Review Group(s), in accordance with NIH peer review policy and procedures, using the stated review criteria. Only applications submitted in response to a NOSI published by an NIH Institute or Center will be allowed to apply to this FOA."
154,Ruth L. Kirschstein National Research Service Award (NRSA) Short-Term Institutional Research Training Grant (Parent T35),PA-20-162,"Special district governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal organizations (other than Federally recognized tribal governments)For profit organizations other than small businessesCity or township governmentsState governmentsCounty governmentsPublic and State controlled institutions of higher educationNative American tribal governments (Federally recognized)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationIndependent school districtsPublic housing authorities/Indian housing authoritiesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher educationSmall businesses",National Institutes of Health,"The National Institutes of Health (NIH) will award Ruth L. Kirschstein National Research Service Award (NRSA) Short-Term Institutional Research Training Grants (T35) to eligible, domestic institutions to develop and/or enhance research training opportunities for predoctoral students interested in careers in biomedical, behavioral, or clinical research. Many NIH Institutes and Centers (ICs) use this NRSA program exclusively to support intensive, short-term research training experiences for health professional students (medical students, veterinary students, and/or students in other health-professional programs) during the summer. This program is also intended to encourage training of graduate students in the physical or quantitative sciences to pursue research careers by short-term exposure to, and involvement in, the health-related sciences. The training should be of sufficient depth to enable the trainees, upon completion of the program, to have a thorough exposure to the principles underlying the conduct of biomedical research.    This Funding Opportunity Announcement (FOA) does not allow appointed Trainees to lead an independent clinical trial, but does allow them to obtain research experience in a clinical trial led by a mentor or co-mentor."
155,Academic-Industrial Partnerships (AIP) to Translate and Validate In Vivo Imaging Systems (R01 Clinical Trial Optional),PAR-20-155,"State governmentsPublic housing authorities/Indian housing authoritiesCounty governmentsNative American tribal governments (Federally recognized)Independent school districtsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationFor profit organizations other than small businessesNative American tribal organizations (other than Federally recognized tribal governments)City or township governmentsPublic and State controlled institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesSpecial district governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Private institutions of higher education",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to stimulate translation of scientific discoveries and engineering developments in imaging, data science and/or spectroscopic technologies into methods or tools that address contemporary problems in understanding the fundamental biology, potential risk of development, diagnosis, treatment, and/or disease status for cancer or other disease."
156,Extracellular RNA carrier subclasses in processes relevant to Substance Use Disorders or HIV infection (R01- Clinical Trial Not Allowed),PAR-20-147,"Public and State controlled institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher educationIndependent school districtsCounty governmentsSmall businessesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)State governmentsNative American tribal governments (Federally recognized)Public housing authorities/Indian housing authoritiesFor profit organizations other than small businessesCity or township governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSpecial district governments",National Institutes of Health,"The purpose of this FOA is to encourage research investigating the roles of extracellular RNA (exRNA) carrier subclasses in biological processes relevant to substance use disorders (SUDs) and/or HIV infection, latency, or pathogenesis in the CNS. Applicants may propose to investigate biological mechanisms involving exRNA carrier subclasses, or propose to develop improved technologies to investigate extracellular vesicles or other exRNA carriers."
157,Extracellular RNA carrier subclasses in processes relevant to Substance Use Disorders or HIV infection (R21- Clinical Trial Not Allowed),PAR-20-148,"Public and State controlled institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationIndependent school districtsCity or township governmentsNative American tribal governments (Federally recognized)County governmentsState governmentsSpecial district governmentsPublic housing authorities/Indian housing authoritiesNative American tribal organizations (other than Federally recognized tribal governments)Private institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationFor profit organizations other than small businessesSmall businesses",National Institutes of Health,"The purpose of this FOA is to encourage research investigating the roles of extracellular RNA (exRNA) carrier subclasses in biological processes relevant to substance use disorders (SUDs) and/or HIV infection, latency, or pathogenesis in the CNS. Applicants may propose to investigate biological mechanisms involving exRNA carrier subclasses, or propose to develop improved technologies to investigate extracellular vesicles or other exRNA carriers."
158,NIDA Small Research Grant Program (R03 Clinical Trial Required),PA-20-146,"Special district governmentsPublic and State controlled institutions of higher educationNative American tribal governments (Federally recognized)For profit organizations other than small businessesCounty governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal organizations (other than Federally recognized tribal governments)State governmentsIndependent school districtsSmall businessesCity or township governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher educationPublic housing authorities/Indian housing authorities",National Institutes of Health,"The NIDA Small Research Grant Program supports small research projects that can be carried out in a short period of time with limited resources. This program supports different types of projects including pilot, feasibility, or small clinical trials with medications, behavioral interventions, immunotherapies, therapeutic devices, therapeutic digital applications, health services, prevention interventions, biomarkers, and development of research methodology. This Funding Opportunity Announcement requires that a clinical trial be proposed. The proposed project must be related to the programmatic interests of NIDA."
159,Exploiting in vivo or in situ imaging approaches to understand HIV-relevant processes in the context of substance use disorders  (R61/R33 Clinical Trials Optional),RFA-DA-21-005,"State governmentsSpecial district governmentsSmall businessesCounty governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationIndependent school districtsPublic and State controlled institutions of higher educationCity or township governmentsFor profit organizations other than small businessesPublic housing authorities/Indian housing authoritiesNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Others (see text field entitled ""Additional Information on Eligibility"" for clarification)Private institutions of higher educationNative American tribal governments (Federally recognized)",National Institutes of Health,"The purpose of this initiative is to support projects that further develop or exploit advances using in situ or in vivo imaging or related technologies to investigate HIV/SIV infection, latent reservoirs, the pathogenic consequences of HIV/SIV infection, or the effects of HIV/SIV or substance use disorder (SUD) therapies. Applicants may propose primate or human studies to investigate blood, lymphoid, or brain tissues."
160,Annual Program Statement,C-NOFO-20-100,"Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",U.S. Mission to India,"PAS Chennai seeks proposal for multiple project objectives, each proposal should focus primarily on one of the following priority project areas.

·        Inclusive Economic Growth: Activities that build India’s entrepreneurship ecosystem through women’s economic empowerment. Improve the connections between U.S. and Indian businesses, and/or expand economic opportunities for women, youth, and undeserved populations.

·        Countering Disinformation: Projects that reinforce journalistic standards to counter disinformation; support freedom of information; encourage transparency; promote critical thinking; and instill media ethics through educational methods and materials. Journalists and citizens will be better equipped to evaluate and hold to account all sources of information.

·        Disaster Management: Activities related to building capacity in community volunteers, leaders, and first responders who can take effective action before, during, and after an emergency. Increase understanding of all-hazards mitigation and management and build civic participation, good governance, and resilient communities.
 
·        Active Citizenship: Projects that support human rights, racial/ethnic equality, women’s empowerment, diversity, and social inclusion in civil society, with special focus on youth and grassroots communities. 

(Please refer the full announcement available in related documents tab)"
161,Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Grant (Parent T32),PA-20-142,"Public and State controlled institutions of higher educationCounty governmentsCity or township governmentsNative American tribal governments (Federally recognized)Private institutions of higher educationSpecial district governmentsFor profit organizations other than small businessesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Public housing authorities/Indian housing authoritiesState governmentsSmall businessesNative American tribal organizations (other than Federally recognized tribal governments)Independent school districtsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",National Institutes of Health,"The National Institutes of Health (NIH) will award Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Grants (T32) to eligible, domestic institutions to enhance predoctoral and postdoctoral research training, including short-term research training, and help ensure that a diverse and highly trained workforce is available to meet the needs of the Nations biomedical, behavioral, and clinical research agenda.  Research training programs are expected to incorporate didactic, research, and career development elements to prepare trainees for careers that will have a significant impact on the health-related research needs of the Nation. Programs proposing only short-term predoctoral research training should not apply to this announcement, but rather to the Kirschstein-NRSA Short-Term Institutional Research Training Grant Program (T35) exclusively reserved for predoctoral, short-term research training (see PA-18-404). This Funding Opportunity Announcement (FOA) does not allow appointed trainees to lead an independent clinical trial, but does allow them to obtain research experience in a clinical trial led by a mentor or co-mentor."
162,Analysis,PD-20-1281,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",National Science Foundation,"The Analysis Program supports research in analysis. Areas of current activity include complex, harmonic, and real analysis; dynamical systems and ergodic theory; functional analysis; mathematical physics; operator theory and operator algebras; partial differential equations and calculus of variations.


Conferences


Proposals to the Analysis Program for conferences or workshops must be submitted through the program solicitation ""Conferences and Workshops in the Mathematical Sciences"" (link below). Principal Investigators should carefully read the solicitation to obtain important information regarding the substance of proposals for conferences, workshops, and similar activities.


To facilitate timely notification of the availability of support, the following requirements are in effect: for support of an event that has a starting date between March 1 and September 30 during a given year, the proposal must be submitted between September 16 and September 30 in the previous year; for support of an event that has a starting date between October 1 in a given year and the last day of February in the following year, the proposal must be submitted between May 16 and May 30 of that year.


Conference proposals to the Analysis Program whose submission dates do not conform with the requirements described above will be returned without review.


Prospective PIs of proposals for conferences, workshops, etc., whose budget requests exceed $50,000 are reminded that such proposals will, in general, require external review and hence are subject to significantly longer processing times."
163,"Research to Reduce Morbidity and Improve Care for Pediatric, and Adolescent and Young Adult (AYA) Cancer Survivors (R21 Clinical Trial Optional)",RFA-CA-20-028,"County governmentsIndependent school districtsCity or township governmentsNative American tribal organizations (other than Federally recognized tribal governments)Private institutions of higher educationPublic and State controlled institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal governments (Federally recognized)Small businessesFor profit organizations other than small businessesSpecial district governmentsPublic housing authorities/Indian housing authoritiesState governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)",National Institutes of Health,"Through this Funding Opportunity Announcement (FOA), the National Cancer Institute (NCI) invites applications describing research focused on improving care and health-related quality of life for childhood, and adolescent and young adult (AYA) cancer survivors. Specifically, this FOA solicits mechanistic, observational, and intervention applications that focus on six key domains: (1) disparities in survivor outcomes; (2) barriers to follow-up care (e.g. access, adherence); (3) impact of familial, socioeconomic, and other environmental factors on survivor outcomes; (4) indicators for long-term follow-up needs related to risk for late effects, recurrence, and subsequent cancers; (5) risk factors and predictors of late/long-term effects of cancer treatment; and (6) development of targeted interventions to reduce the burden of cancer for pediatric/AYA survivors."
164,"Research to Reduce Morbidity and Improve Care for Pediatric, and Adolescent and Young Adult (AYA) Cancer Survivors (R01 Clinical Trial Optional)",RFA-CA-20-027,"County governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Independent school districtsPublic housing authorities/Indian housing authoritiesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher educationSpecial district governmentsSmall businessesState governmentsCity or township governmentsNative American tribal organizations (other than Federally recognized tribal governments)For profit organizations other than small businessesNative American tribal governments (Federally recognized)Public and State controlled institutions of higher education",National Institutes of Health,"Through this Funding Opportunity Announcement (FOA), the National Cancer Institute (NCI) invites applications describing research focused on improving care and health-related quality of life for childhood, and adolescent and young adult (AYA) cancer survivors. Specifically, this FOA solicits mechanistic, observational, and intervention applications that focus on six key domains: (1) disparities in survivor outcomes; (2) barriers to follow-up care (e.g. access, adherence); (3) impact of familial, socioeconomic, and other environmental factors on survivor outcomes; (4) indicators for long-term follow-up needs related to risk for late effects, recurrence, and subsequent cancers; (5) risk factors and predictors of late/long-term effects of cancer treatment; and (6) development of targeted interventions to reduce the burden of cancer for pediatric/AYA survivors."
165,Broad Mission Announcement for USAID/Ethiopia,72066320BMA00001,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",Ethiopia USAID-Addis Ababa ,"This Broad Mission Announcement (BMA) seeks opportunities for the United States Agency for International Development (USAID) to co-create, co-design, co-invest, and collaborate in basic and applied research and development that supports the Government of Ethiopia’s (GOE) reform efforts, to meet joint USAID/GOE Development Objectives, which are outlined in USAID/Ethiopia’s Country Development Cooperation Strategy. In accordance with additional Critical Problem Addenda that will be issued under the BMA, organizations and companies are invited to participate with USAID in activities, innovations, and technologies that further these Development Objectives.This BMA serves to inform the public of the opportunity for possible funding for innovations that support the GOE quest for improved development outcomes. Actual opportunities for funding and partnering will be issued as a Critical Problem Addenda to this BMA. No responses to the BMA will be considered until a Critical Problem Addendum has been issued. The terms of the BMA apply to each Critical Problem Addendum. Individual Critical Problem Addenda may have specific requirements for evaluation criteria and administrative information, such as the requirements for Expressions of Interest, Concept Papers, and response deadlines.This BMA is a competitive approach to consider applications that harness scientific research, specific expertise or experience, innovation, and partnerships to discover, test and scale breakthrough innovations to solve development challenges in the areas of development program management, disaster risk management, household and community resilience, private sector growth, essential service delivery (strengthening education and health systems as well as empowering communities), youth development and engagement, and citizen responsive governance.   "
166,Research Projects to Enhance Applicability of Mammalian Models for Translational Research (R01 Clinical Trial Not Allowed),PAR-20-131,"Independent school districtsNative American tribal governments (Federally recognized)Public and State controlled institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationFor profit organizations other than small businessesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Private institutions of higher educationState governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Special district governmentsCounty governmentsSmall businessesCity or township governmentsPublic housing authorities/Indian housing authorities",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to invite applications for projects to expand, improve, or transform the utility of mammalian cancer and tumor models for translational research. With this FOA, the NCI intends to encourage submission of projects devoted to demonstrating that mammalian models or their derivatives used for translational research are robust representations of human biology, are appropriate to test questions of clinical importance, and provide reliable information for patients' benefit. These practical goals contrast with the goals of many mechanistic, NCI-supported R01 projects that employ mammals, or develop and use mammalian cancer models, transplantation tumor models, or models derived from mammalian or human tissues or cells for hypothesis-testing, non-clinical research. Among many other possible endeavors, applicants in response to this FOA could propose demonstrations of how to overcome translational deficiencies of mammalian oncology models, define new uses of mammalian models or their genetics for unexplored translational challenges, advance standard practices for use of translational models, test approaches to validate and credential models, or challenge current practices for how models are used translationally"
167,"Development of Wearable Smart Devices for Continuous Monitoring of Circulating Nutrients, Metabolites and Hormones (R21/R33 Clinical Trial Required)",PAR-20-134,"For profit organizations other than small businessesIndependent school districtsPrivate institutions of higher educationState governmentsSpecial district governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationCounty governmentsPublic housing authorities/Indian housing authoritiesNative American tribal governments (Federally recognized)Others (see text field entitled ""Additional Information on Eligibility"" for clarification)City or township governmentsSmall businessesNative American tribal organizations (other than Federally recognized tribal governments)Public and State controlled institutions of higher education",National Institutes of Health,"The purpose of this Funding Opportunity Announcement is to develop tools and devices that can continuously monitor a broader range of nutrients, metabolites and/or metabolic signals for advancing precision nutrition, microbiome, and circadian metabolism research."
168,Emergency Competitive Revision to Existing NIH Awards (Emergency Supplement - Clinical Trial Optional),PA-20-135,"Public and State controlled institutions of higher educationCounty governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher educationSmall businessesState governmentsSpecial district governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal governments (Federally recognized)City or township governmentsPublic housing authorities/Indian housing authoritiesIndependent school districtsNative American tribal organizations (other than Federally recognized tribal governments)Others (see text field entitled ""Additional Information on Eligibility"" for clarification)For profit organizations other than small businesses",National Institutes of Health,"The National Institutes of Health (NIH) hereby notify the applicant community that funds may be available for applications based on a presidentially declared disaster under the Stafford Act, a public health emergency declared by the Secretary, HHS, or other local, regional or national disaster. Applications in response to Emergency Guide Notices will be routed directly to the NIH awarding component signed on to the Emergency Guide Notice.   Only applications submitted in response to an Emergency Guide Notice published by an Institute or Center (IC) will be allowed to apply to this Funding Opportunity Announcement."
